2024-07-25 00:22:56.472 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Starting ProductControllerTest using Java 22.0.1 with PID 2553 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 00:22:56.477 | main                      | DEBUG | com.example.final_project.controller.ProductControllerTest              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 00:22:56.477 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 00:22:57.810 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-25 00:22:57.833 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Started ProductControllerTest in 1.796 seconds (process running for 2.254)
2024-07-25 00:23:18.915 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Starting ProductControllerTest using Java 22.0.1 with PID 2559 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 00:23:18.916 | main                      | DEBUG | com.example.final_project.controller.ProductControllerTest              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 00:23:18.916 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 00:23:20.331 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-25 00:23:20.370 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Started ProductControllerTest in 1.688 seconds (process running for 2.187)
2024-07-25 00:25:27.970 | main                      | INFO  | com.example.final_project.repository.ProductRepositoryTest              -  Starting ProductRepositoryTest using Java 22.0.1 with PID 2567 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 00:25:27.971 | main                      | DEBUG | com.example.final_project.repository.ProductRepositoryTest              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 00:25:27.971 | main                      | INFO  | com.example.final_project.repository.ProductRepositoryTest              -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 00:25:30.303 | main                      | INFO  | com.example.final_project.repository.ProductRepositoryTest              -  Started ProductRepositoryTest in 2.723 seconds (process running for 3.193)
2024-07-25 00:25:49.094 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Starting ProductControllerTest using Java 22.0.1 with PID 2581 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 00:25:49.094 | main                      | DEBUG | com.example.final_project.controller.ProductControllerTest              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 00:25:49.095 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 00:25:50.461 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-25 00:25:50.487 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Started ProductControllerTest in 1.63 seconds (process running for 2.11)
2024-07-25 00:32:14.317 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Starting ProductControllerTest using Java 22.0.1 with PID 2610 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 00:32:14.318 | main                      | DEBUG | com.example.final_project.controller.ProductControllerTest              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 00:32:14.318 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 00:32:15.707 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-25 00:32:15.742 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Started ProductControllerTest in 1.801 seconds (process running for 2.329)
2024-07-25 00:33:39.996 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Starting ProductControllerTest using Java 22.0.1 with PID 2619 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 00:33:39.997 | main                      | DEBUG | com.example.final_project.controller.ProductControllerTest              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 00:33:39.997 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 00:33:41.438 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-25 00:33:41.462 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Started ProductControllerTest in 1.723 seconds (process running for 2.204)
2024-07-25 00:33:51.902 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Starting ProductControllerTest using Java 22.0.1 with PID 2625 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 00:33:51.902 | main                      | DEBUG | com.example.final_project.controller.ProductControllerTest              -  Running with Spring Boot v3.3.0, Spring v6.1.8
