2024-07-22 22:43:39.487 | main                      | INFO  | com.example.final_project.controller.FavoriteControllerTest             -  Starting FavoriteControllerTest using Java 22.0.1 with PID 17718 (started by serhiihorb in /Users/serhiihorb/Desktop/Tel_Ran_Pro/Final_Project)
2024-07-22 22:43:39.493 | main                      | DEBUG | com.example.final_project.controller.FavoriteControllerTest             -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-22 22:43:39.494 | main                      | INFO  | com.example.final_project.controller.FavoriteControllerTest             -  No active profile set, falling back to 1 default profile: "default"
2024-07-22 22:57:56.396 | main                      | INFO  | com.example.final_project.controller.FavoriteControllerTest             -  Starting FavoriteControllerTest using Java 22.0.1 with PID 17858 (started by serhiihorb in /Users/serhiihorb/Desktop/Tel_Ran_Pro/Final_Project)
2024-07-22 22:57:56.397 | main                      | DEBUG | com.example.final_project.controller.FavoriteControllerTest             -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-22 22:57:56.397 | main                      | INFO  | com.example.final_project.controller.FavoriteControllerTest             -  No active profile set, falling back to 1 default profile: "default"
2024-07-22 23:02:00.288 | main                      | INFO  | com.example.final_project.controller.FavoriteControllerTest             -  Starting FavoriteControllerTest using Java 22.0.1 with PID 17884 (started by serhiihorb in /Users/serhiihorb/Desktop/Tel_Ran_Pro/Final_Project)
2024-07-22 23:02:00.288 | main                      | DEBUG | com.example.final_project.controller.FavoriteControllerTest             -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-22 23:02:00.289 | main                      | INFO  | com.example.final_project.controller.FavoriteControllerTest             -  No active profile set, falling back to 1 default profile: "default"
2024-07-22 23:02:02.112 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-22 23:02:02.147 | main                      | INFO  | com.example.final_project.controller.FavoriteControllerTest             -  Started FavoriteControllerTest in 2.188 seconds (process running for 2.873)
2024-07-22 23:03:54.857 | main                      | INFO  | com.example.final_project.controller.FavoriteControllerTest             -  Starting FavoriteControllerTest using Java 22.0.1 with PID 17900 (started by serhiihorb in /Users/serhiihorb/Desktop/Tel_Ran_Pro/Final_Project)
2024-07-22 23:03:54.858 | main                      | DEBUG | com.example.final_project.controller.FavoriteControllerTest             -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-22 23:03:54.858 | main                      | INFO  | com.example.final_project.controller.FavoriteControllerTest             -  No active profile set, falling back to 1 default profile: "default"
2024-07-22 23:03:56.627 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-22 23:03:56.657 | main                      | INFO  | com.example.final_project.controller.FavoriteControllerTest             -  Started FavoriteControllerTest in 2.122 seconds (process running for 2.796)
2024-07-22 23:04:14.269 | main                      | INFO  | com.example.final_project.controller.FavoriteControllerTest             -  Starting FavoriteControllerTest using Java 22.0.1 with PID 17910 (started by serhiihorb in /Users/serhiihorb/Desktop/Tel_Ran_Pro/Final_Project)
2024-07-22 23:04:14.270 | main                      | DEBUG | com.example.final_project.controller.FavoriteControllerTest             -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-22 23:04:14.271 | main                      | INFO  | com.example.final_project.controller.FavoriteControllerTest             -  No active profile set, falling back to 1 default profile: "default"
2024-07-22 23:04:16.055 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
